userId,itemId,rating,timestamp
2619,6,5,1733831381
1126,17,5,1754031571
419,251,5,1728777108
2233,4,5,1744556339
130,1,5,1751377413
952,92,5,1757823287
2298,12,5,1736907183
2872,117,5,1751316927
1839,152,5,1731553707
26,399,5,1753356409
2859,56,5,1749389871
636,14,5,1733095075
1378,5,5,1745965442
396,37,5,1747172448
2472,19,5,1757255732
2988,70,5,1754525216
1550,4,5,1748876256
2574,180,5,1729799601
1481,141,5,1735072179
284,2,5,1751066689
1185,1385,5,1730013986
953,728,5,1745958767
1138,68,5,1730725585
1494,9,5,1746792780
858,242,5,1735164505
2799,213,5,1738274642
2600,9,5,1734248251
1002,9,5,1745981275
1105,1415,5,1737238858
2818,125,5,1735741844
1328,639,5,1732675450
229,15,5,1757636581
1292,49,5,1756492765
864,941,5,1739682282
2940,28,5,1736720814
2044,47,5,1728026562
2633,70,5,1749825783
571,17,5,1739877298
2207,19,5,1739098236
1754,865,5,1745312029
1482,14,5,1754072043
2087,86,5,1733353845
192,706,5,1753585183
2570,9,5,1735880526
1729,158,5,1745803038
1563,158,5,1743008538
2167,18,5,1740150506
47,256,5,1754869968
2792,805,5,1733518408
1092,422,5,1747299292
456,24,5,1753406793
1858,0,5,1734484298
2947,19,5,1741916804
731,94,5,1755143132
2561,25,5,1737274099
2079,170,5,1753585252
1531,408,5,1740615130
2172,968,5,1738616441
1327,84,5,1754960029
1486,779,5,1730807622
1259,17,5,1750631377
2323,1129,5,1755839634
2997,82,5,1756391300
2181,415,5,1754405584
2702,77,5,1740265339
676,20,5,1729439691
2484,56,5,1751606918
2208,392,5,1735565570
823,308,5,1745325727
2751,215,5,1744013487
2119,67,5,1750395354
920,3,5,1758007894
2409,123,5,1738968913
902,0,5,1734962486
2584,3,5,1756452107
128,701,5,1756336108
2105,16,5,1736266517
1988,14,5,1754274038
2962,1062,5,1739552660
2360,76,5,1732386227
1937,525,5,1752324590
386,5,5,1744250009
1451,56,5,1743042939
2986,3,5,1736787359
2646,5,5,1745203958
2982,33,5,1729800754
447,18,5,1752331335
2196,66,5,1744557688
751,22,5,1750331573
308,64,5,1729811607
2254,5,5,1736831335
2214,615,5,1755584307
968,9,5,1742418274
1971,14,5,1745257007
